feature,mean_abs_shap
ab_nicu,0.9426801500537221
mage_c,0.7429828076627429
dbwt,0.317597235478346
gestrec10,0.28408135060172846
ab_aven1,0.18718628411788826
mracehisp,0.10388554183100004
ca_cchd,0.09793892398426883
wtgain,0.0866579313517626
ca_disor,0.08554682123158366
ab_aven6,0.0625949970781657
meduc,0.04967234343205099
dmeth_rec,0.04808527742930203
year,0.0429378115210344
rf_ghype,0.03823482287680625
bmi,0.03795012336975388
precare,0.037855635959681194
fracehisp,0.03672878194524428
ab_anti,0.03376797042180132
fagecomb,0.03340579440527391
me_pres,0.02845140300600243
feduc,0.028343775188440112
bfacil3,0.020786291597392186
rf_inftr,0.01445353565527095
rf_artec,0.013081623405033245
pay_rec,0.010301099404161894
rf_phype,0.010238388995377708
sex,0.009861910122831186
rf_pdiab,0.007083406351091568
ld_augm,0.005064079945797591
ca_cleft,0.0042369583655778986
apgar5,0.004187757572314889
rf_ppterm,0.004009223965341847
ld_indl,0.003943157283112792
ca_clpal,0.0032417880727965594
ca_hypo,0.0031588286589547972
wic,0.002807129802034945
rf_ehype,0.002394302498595613
ca_gast,0.0020338315678372566
rf_fedrg,0.0017006456721131032
ca_mnsb,0.0016358501640792236
ab_surf,0.001602526350101378
ca_limb,0.001582531945061498
ca_anen,0.001483474332182107
ca_omph,0.0013100463780502157
rf_gdiab,0.0012746327898225886
ca_cdh,0.0011036710772616397
apgar10,0.0009959428647571648
ab_seiz,0.0003750153309998122
