feature,importance_mean,importance_std
ca_disor,0.012408186622375864,0.0003925619374348158
ca_cchd,0.010672757423718662,0.0004886378852879993
mage_c,0.010096323772496233,0.0004802705502453766
ab_nicu,0.004090060407126071,0.000621092963203209
dbwt,0.003426884748935688,0.0002338660009673945
gestrec10,0.0019455975425656212,0.00032164532570962183
dmeth_rec,0.0015634051341717626,0.00018706211073877264
ab_aven6,0.0009308614093655098,0.000217313047088514
bfacil3,0.0008740558695604375,0.00021498678592791128
meduc,0.0008289165580793754,0.0002598002714372676
wtgain,0.0007696578961795874,0.000255901892792623
rf_ghype,0.0006424967378519449,0.00010809667743073419
mracehisp,0.0005862388364275967,0.00018997444525030462
ab_aven1,0.0005719963455411859,0.00016791861063675094
precare,0.0004811032571035229,0.0002023598571202028
bmi,0.00039763495146684716,0.00021992618729771093
ab_anti,0.0003700084577451114,0.00021179214703258978
sex,0.0003597468147914541,0.00010429563289168083
feduc,0.00035334630546227444,0.00011834841279575712
fracehisp,0.0001876461967628879,6.873608861317124e-05
year,0.00014818091116464358,0.00020835515610562012
rf_inftr,9.78796080775987e-05,9.452824969412627e-05
apgar5,9.513159946299526e-05,3.392135155568551e-05
ld_augm,8.929911375037645e-05,4.461608842720478e-05
rf_phype,8.136294255090236e-05,7.857292468510073e-05
wic,6.355534294228312e-05,5.661443340679941e-05
ca_mnsb,5.331170125562577e-05,2.7566749363781303e-05
ca_cleft,5.323313273399403e-05,1.921901214476293e-05
rf_artec,5.088272764756964e-05,6.846101969614473e-05
ab_seiz,5.036986025598739e-05,9.366747464024667e-06
fagecomb,2.354115568360231e-05,0.00011179061147666886
ca_anen,1.6329904169717913e-05,4.059467530793839e-05
rf_fedrg,1.2165866725575777e-05,1.1484509892821076e-05
ca_gast,9.500616203448469e-07,3.557145896407302e-05
rf_gdiab,8.241910769889171e-07,6.11092661866004e-05
ld_indl,-1.3963539231543615e-06,2.885285214511011e-05
rf_ehype,-3.716138731293256e-06,5.6771913638201047e-05
apgar10,-6.2331648744372995e-06,2.2486262246098423e-06
me_pres,-6.670277786510747e-06,0.00017634535930619946
ca_cdh,-9.225275513868175e-06,2.209868421888382e-06
ca_clpal,-1.0064857585447353e-05,1.8338634356517208e-05
rf_pdiab,-1.0212903462614859e-05,7.823192936699501e-05
ab_surf,-2.1179610420427734e-05,2.2114059126580082e-05
ca_omph,-2.2446211447333873e-05,1.0476777132068527e-05
ca_hypo,-3.329559614889017e-05,1.9292012849930424e-05
pay_rec,-4.5792924799133856e-05,5.520380986084676e-05
rf_ppterm,-4.790117309971704e-05,6.798892460543983e-05
ca_limb,-7.359793347281457e-05,3.544813240495387e-05
