feature,mean_abs_shap
ab_nicu,0.9693578370518487
mage_c,0.7675636972957915
dbwt,0.344657891037968
gestrec10,0.3025858388084627
ab_aven1,0.19167162630141674
mracehisp,0.11524186221987638
ca_cchd,0.1040267835043574
wtgain,0.09198441930968487
ca_disor,0.0903133796813668
ab_aven6,0.06583606318471574
meduc,0.058586344935010956
dmeth_rec,0.05402539967735761
year,0.05364163644172182
precare,0.04637250026804894
bmi,0.04410766329760117
fracehisp,0.04396542667900913
rf_ghype,0.042738201926562844
feduc,0.03870915868085917
fagecomb,0.03669637853875777
me_pres,0.03372533410997369
ab_anti,0.03295109385293891
bfacil3,0.025344342558921026
rf_inftr,0.018824632862024904
pay_rec,0.013888528614137488
rf_phype,0.013025390290916003
rf_fedrg,0.011347810237974472
sex,0.01001367558626527
apgar5,0.009315071778557525
ld_augm,0.0054369700868916356
ld_indl,0.0040141124896403745
