top_frac,k,pred_rate_mean,obs_rate,tp,fp,pred_minus_obs,ratio_pred_to_obs,model
0.01,100768,0.01824140044708659,0.01832923150206415,1847,98921,-8.783105497755725e-05,0.9952081430709375,raw
0.001,10077,0.07251918654793743,0.06956435447057656,701,9376,0.002954832077360872,1.0424762380079393,raw
0.0001,1008,0.19910812195041733,0.16865079365079366,170,838,0.030457328299623665,1.180594040741298,raw
1e-05,101,0.34195852875637783,0.2871287128712871,29,72,0.05482981588509073,1.1909590139446264,raw
