feature,importance_mean,importance_std
ca_disor,0.012228957183872353,0.00036626564937993123
ca_cchd,0.010793792760946877,0.0004434303558024094
mage_c,0.0097636837162954,0.0005216246301309613
ab_nicu,0.004430432948528575,0.00045483000241434827
dbwt,0.003145795932389893,0.0004142153947479232
gestrec10,0.0017674547060538355,0.00041088266285288836
dmeth_rec,0.0016349063739404142,0.0002671449892597676
bfacil3,0.0009439928999179705,0.000231503083047172
ab_aven6,0.0008866123451820522,0.0001451127424203718
meduc,0.000685328570007562,0.00025779869464956465
precare,0.0006509778477973314,0.00025164564687966506
ab_aven1,0.0005704039346455796,0.00017906972698369816
mracehisp,0.0005457478755783237,0.00014665390871438212
rf_ghype,0.0005241855878965109,0.0001448283218269231
wtgain,0.0004881360706487179,0.00025828049845482006
bmi,0.00042816290138659904,0.00017719469740711652
feduc,0.000415432623300812,0.00011106213376387522
sex,0.0004043822820570829,0.00010252921338077459
ab_anti,0.00031875656066044055,0.0003950051746839562
year,0.0002453064217378717,0.00020326484561515094
fracehisp,0.00022633248598125411,0.00010368996529633877
rf_inftr,0.00012962456222532503,8.570965594623316e-05
pay_rec,0.00012056677142736269,6.609787262397383e-05
rf_fedrg,0.00011465015795146736,0.00010148406638232204
ld_augm,8.70095232580477e-05,6.51021765317336e-05
ld_indl,8.028072881723879e-05,4.085934215233477e-05
apgar5,7.279200307586768e-05,3.5819379444871415e-05
rf_phype,6.886371618382708e-05,0.0001118527788974487
me_pres,6.48383980745168e-05,0.00015376520536306934
ca_mnsb,6.362207785304691e-05,2.7793793805099706e-05
ab_seiz,3.2933206352056195e-05,9.870794470735954e-06
rf_ehype,2.121466707436688e-05,6.168467557781052e-05
rf_gdiab,1.5265890561485044e-05,4.885235487660617e-05
ca_anen,1.5164158756592744e-05,3.474758908504453e-05
ab_surf,1.3203275491737235e-05,2.8302883431257535e-05
ca_gast,-1.9296878591923417e-06,3.822092911148934e-05
ca_hypo,-5.2400692531495015e-06,1.9461822607616656e-05
rf_ppterm,-1.7286042848612195e-05,6.373533646171966e-05
rf_pdiab,-3.964855128912662e-05,8.109858690712659e-05
fagecomb,-0.00021146027825739468,0.0001576903748897923
