feature,importance_gain
ab_nicu,898592.5329899788
mage_c,501538.4815649986
dbwt,254243.21658229828
ca_disor,218805.3294119835
ca_cchd,163619.1096420288
bmi,151444.78605556488
wtgain,128512.58453035355
fagecomb,106510.53354024887
gestrec10,103604.42324256897
ab_aven1,56258.032947063446
year,40697.00016498566
mracehisp,33336.83302259445
meduc,28760.39967393875
ab_aven6,25344.903673171997
precare,25207.11483812332
dmeth_rec,20004.79270219803
bfacil3,18201.48984193802
feduc,18146.005811214447
rf_ghype,16073.103374958038
rf_fedrg,15167.29938697815
fracehisp,13710.096630096436
me_pres,13625.106894016266
rf_inftr,11802.511351585388
ab_anti,10642.07441854477
rf_phype,6294.451297283173
pay_rec,5554.606102466583
apgar5,4130.377554893494
ld_indl,3571.0480489730835
sex,3113.8459062576294
ld_augm,2229.530313014984
