feature,mean_abs_shap
ab_nicu,0.9166911415054114
mage_c,0.8618310281174404
dbwt,0.32853152904915983
gestrec10,0.29739996320937884
ab_aven1,0.22229616952293818
ca_cchd,0.19542369856116387
ca_disor,0.18699791399097493
mracehisp,0.13942350108046117
wtgain,0.10779053818153955
year,0.07588731375863514
ab_aven6,0.0752689856625103
bmi,0.06997476935972592
precare,0.06307257970938733
meduc,0.059840630316576236
dmeth_rec,0.05377646722601727
ab_anti,0.04480100121148669
me_pres,0.0441292291559609
rf_ghype,0.04067242602790528
rf_inftr,0.027917509353538473
bfacil3,0.026550998130513606
pay_rec,0.02386272654447624
sex,0.020568242031961035
