feature,mean_abs_shap
ab_nicu,0.8679117792367333
mage_c,0.8204553791418443
dbwt,0.30457301760843325
gestrec10,0.2880051063692063
ab_aven1,0.22944556389691023
ca_cchd,0.2032532064821154
ca_disor,0.18641962940638945
mracehisp,0.1281627084416098
wtgain,0.10213051337756075
ab_aven6,0.07477514693756876
year,0.06840813919311269
bmi,0.06412265517035128
meduc,0.056609396739920145
precare,0.053549487231277865
ab_anti,0.05091785610998642
dmeth_rec,0.04574425760092072
me_pres,0.04159308526035649
rf_ghype,0.038512947674872365
bfacil3,0.02482307048691009
pay_rec,0.021981753539149138
sex,0.01986835120494224
rf_inftr,0.019571003952172324
rf_artec,0.010654794882444984
rf_phype,0.009377088717949214
ca_cleft,0.004351349615815044
ca_clpal,0.0032728045804476646
