feature,importance_gain
ab_nicu,257516.06577134132
mage_c,187666.6113882959
dbwt,118062.28361395001
bmi,96590.21803987026
wtgain,78501.39230793715
ca_disor,70195.3842587471
ca_cchd,51650.18957686424
gestrec10,40004.54443821311
ab_aven1,34351.75105935335
year,21603.382376998663
ab_aven6,15263.43020427227
meduc,13445.306232184172
mracehisp,13369.381782770157
precare,13185.173268020153
rf_inftr,7977.218372583389
dmeth_rec,7121.425730228424
me_pres,6203.838411808014
ab_anti,5730.581621944904
rf_ghype,5488.226024746895
bfacil3,5463.373587012291
pay_rec,2903.066517531872
sex,2558.9616953134537
