feature,importance_mean,importance_std
ca_cchd,0.007428659514855422,0.00021918604856068793
ca_disor,0.006568877218743425,0.0002550039367810329
mage_c,0.004364377304662043,0.0003098484242899178
ab_nicu,0.0024547851744426336,0.00048357247387924155
dbwt,0.002358802307720399,0.00022725041854647652
gestrec10,0.0018234082161227238,0.00015911617624577123
dmeth_rec,0.00152191059964306,0.00011735073435087161
ab_aven6,0.0007858886896863128,0.0001488455704276005
ab_aven1,0.0007344516742651339,0.00016399505534639034
bfacil3,0.00048075413159414727,5.0115619023387356e-05
meduc,0.0004411381013078107,7.228208912579507e-05
mracehisp,0.00040547058457118395,0.00010405693579123489
year,0.0004027921603612823,7.634178975707614e-05
rf_ghype,0.00037822141560750336,5.6676548887809286e-05
wtgain,0.0003276039017588092,0.00011699438390963176
precare,0.0003075476413817037,9.222516662531934e-05
bmi,0.00026509755924753603,0.00011606550164713988
ld_indl,0.00017578653142243106,6.104476981374645e-05
rf_phype,0.00015456140377072616,3.552143023946421e-05
rf_pdiab,0.00015088776683032934,3.0413548557097978e-05
ca_mnsb,0.00013440621927890555,2.5604067995636842e-05
ab_anti,0.00012864266843566757,4.7823040787256296e-05
pay_rec,0.00012621173797148152,3.18828798453617e-05
sex,0.00011975966871013294,6.105700009378529e-05
me_pres,0.00010997173913614572,6.508056222837123e-05
rf_ppterm,9.947561539546124e-05,4.102651536616045e-05
feduc,9.919488777949334e-05,4.6598463915939264e-05
fracehisp,9.317221849017843e-05,4.1028571953726535e-05
rf_inftr,6.19706479933979e-05,6.283703835860481e-05
rf_gdiab,5.601099192592343e-05,1.608390253039485e-05
pwgt_r,5.236426761779933e-05,0.00010546060934802782
rf_artec,2.4499736301594745e-05,4.425520967485377e-05
ab_surf,2.119708565296516e-05,8.07742908559817e-06
ld_augm,1.643493801311846e-05,1.946405291990699e-05
ca_anen,1.505354580854379e-05,9.62177294880775e-06
wic,1.4895510532420691e-05,1.6827752803219244e-05
rf_ehype,1.3491811359074568e-05,1.2434169741202065e-05
apgar5,1.105412647324569e-05,1.3978081470331382e-05
ca_gast,1.058318128803193e-05,8.801082040836212e-06
ca_cdh,7.578587370422885e-06,6.6977347887954095e-06
ca_limb,4.91585025441596e-06,3.0807747228747057e-06
apgar10,-1.2765614946161353e-07,7.967445528383769e-07
ab_seiz,-4.282196723159881e-07,2.0986806037749311e-07
rf_fedrg,-1.6341847967636657e-06,1.7196618206657967e-05
ca_omph,-6.4754519885315555e-06,1.6256460933386245e-06
ca_hypo,-2.4238268691032654e-05,7.213901111254772e-06
ca_cleft,-6.732612635355559e-05,8.779188469584754e-06
ca_clpal,-0.00010959560730418178,1.1298713055885011e-05
fagecomb,-0.00018646632176980772,0.0001158471182229064
