feature,importance_gain
ab_nicu,244939.40654540062
mage_c,168814.20797628164
dbwt,105016.83413922787
bmi,84220.07818883657
ca_disor,71887.23712840676
wtgain,62616.07768404484
ca_cchd,58630.2838050127
gestrec10,41139.913413494825
ab_aven1,38890.01565295458
year,19704.189874768257
ab_aven6,15890.955825984478
mracehisp,13099.383076310158
meduc,12044.209136545658
precare,10530.487305253744
ab_anti,8529.393596827984
dmeth_rec,6313.445130556822
me_pres,5836.811704188585
rf_ghype,5518.659130513668
rf_inftr,5414.404054611921
bfacil3,5154.782577216625
rf_artec,3427.1008327007294
sex,2440.468255877495
pay_rec,2431.6440990567207
rf_phype,1569.306218802929
ca_cleft,1448.5487624704838
ca_clpal,1423.775897204876
