top_frac,k,pred_rate_mean,obs_rate,tp,fp,pred_minus_obs,ratio_pred_to_obs,model
0.01,195405,0.03574109896088756,0.03592026816099895,7019,188386,-0.00017916920011138565,0.9950120305531037,raw
0.001,19540,0.2980295860066646,0.2922210849539406,5710,13830,0.005808501052724013,1.019877077157658,raw
0.0001,1954,0.9999599087946164,1.0,1954,0,-4.009120538361888e-05,0.9999599087946164,raw
1e-05,195,0.9999999527193468,1.0,195,0,-4.728065317038954e-08,0.9999999527193468,raw
0.01,195405,0.03492426557056235,0.03592026816099895,7019,188386,-0.0009960025904365982,0.9722718498099069,calibrated
0.001,19540,0.29365934101028635,0.2922210849539406,5710,13830,0.0014382560563457325,1.0049218079406297,calibrated
0.0001,1954,0.9999549930832033,1.0,1954,0,-4.5006916796652696e-05,0.9999549930832033,calibrated
1e-05,195,0.9999999454890454,1.0,195,0,-5.45109546390421e-08,0.9999999454890454,calibrated
