feature,importance_gain
ab_nicu,136841.5487525463
mage_c,67772.99634838104
dbwt,28115.09134912491
ca_disor,25200.97768330574
ca_cchd,18897.476871728897
gestrec10,15414.469671726227
bmi,14205.380475997925
wtgain,13473.96650338173
ab_aven1,7671.645782709122
mracehisp,6317.0163197517395
meduc,5785.643136739731
precare,5019.734455108643
year,4278.38197517395
ab_aven6,2630.530699491501
rf_artec,2563.01651763916
dmeth_rec,2406.411911010742
bfacil3,2045.518189907074
rf_ghype,2041.241759777069
ca_clpal,1947.1708626747131
pay_rec,1597.4017429351807
me_pres,1328.0975472927094
ab_anti,1325.4693794250488
ca_cleft,1230.7495620250702
rf_inftr,1085.1458632946014
rf_phype,782.8208928108215
sex,691.7043724060059
