top_frac,k,pred_rate_mean,obs_rate,tp,fp,pred_minus_obs,ratio_pred_to_obs,model
0.01,134357,0.018227648430559715,0.018435957932969625,2477,131880,-0.00020830950240990909,0.9887009124685958,raw
0.001,13436,0.06958729809867317,0.0732360821673117,984,12452,-0.0036487840686385276,0.9501777817619642,raw
0.0001,1344,0.17863395380230326,0.18452380952380953,248,1096,-0.005889855721506271,0.9680807818963532,raw
1e-05,134,0.3121045259316934,0.22388059701492538,30,104,0.08822392891676803,1.3940668824948972,raw
0.01,134357,0.01747089808969564,0.018435957932969625,2477,131880,-0.0009650598432739861,0.9476533930711494,calibrated
0.001,13436,0.06554568147135534,0.0732360821673117,984,12452,-0.007690400695956362,0.894991642529604,calibrated
0.0001,1344,0.1668438043513216,0.18452380952380953,248,1096,-0.01768000517248794,0.9041857784200654,calibrated
1e-05,134,0.2917267200448542,0.22388059701492538,30,104,0.06784612302992885,1.3030460162003488,calibrated
