feature,importance_mean,importance_std
ca_cchd,0.010924838639140125,0.00036810957169936296
ca_disor,0.01083256877711445,0.0004001294574359379
mage_c,0.008930470554185511,0.000312487043489865
ab_nicu,0.004579253535672515,0.0005274392808459849
dbwt,0.0036405678828973368,0.00040096347795609577
gestrec10,0.0023353060989839943,0.00018364413264407878
dmeth_rec,0.001247582256163019,0.00015772437693185488
wtgain,0.0007883162638056055,0.00019583717570721554
bfacil3,0.0006251144123613193,0.00021327285269811782
year,0.0005408033132960885,0.00014248831573647624
bmi,0.0005097253689104499,0.00016153495678856034
mracehisp,0.0004790073539946052,0.0001268103092396545
meduc,0.000402011097805104,0.00018144997960567994
rf_ghype,0.00031684941449524814,0.0001686353943252733
precare,0.0002785601125746929,0.0002485952858982974
ab_aven6,0.00020043754391260507,0.0002528900799267601
rf_phype,0.00017899507877459296,7.505567025317243e-05
ca_clpal,0.00014579426520487695,2.1280088180632666e-05
sex,0.00014484878813590188,6.557257431952507e-05
fagecomb,0.0001426309348971342,8.974122816863063e-05
pwgt_r,0.00013866553866140747,0.00011991006055330729
feduc,0.000125029769539731,9.84793968091231e-05
rf_pdiab,0.0001133511910116191,4.547660678160914e-05
ab_aven1,0.00011157388971767545,0.0002189779126430732
fracehisp,9.516048414645837e-05,9.387090431522793e-05
rf_inftr,9.296187593287077e-05,5.9590122148233094e-05
ca_cleft,8.836920183263007e-05,1.908530863584954e-05
rf_artec,7.874120975480194e-05,6.436689722124134e-05
me_pres,7.623671586325202e-05,4.87793994549749e-05
ab_surf,7.005357972168433e-05,1.7391020081646534e-05
ld_indl,6.96887304771382e-05,2.8913556382535156e-05
ab_anti,5.9417134004020185e-05,9.143546442497173e-05
ca_cdh,5.385572838558679e-05,1.831042129460384e-05
ld_augm,5.093102941841794e-05,2.9937019827716686e-05
rf_ppterm,3.8573264573983285e-05,2.772166123784532e-05
ca_gast,3.455747297172601e-05,2.189145381513791e-05
ca_anen,3.0218054115016546e-05,1.6640361517812966e-05
ca_mnsb,2.9556371354050313e-05,1.1769136946252178e-05
apgar5,1.9168529387617734e-05,4.663447349421192e-05
rf_gdiab,1.4038504498717699e-05,6.630111718203715e-06
rf_ehype,1.2733541365583453e-05,1.6192710878617355e-05
rf_fedrg,7.446637583664872e-06,1.0731243202718724e-05
ab_seiz,0.0,0.0
apgar10,0.0,0.0
wic,-4.086149349155979e-06,1.85484642499247e-05
ca_hypo,-1.3146522911056807e-05,2.2136494704910103e-05
ca_limb,-1.9848187756156892e-05,1.4258897295782702e-05
pay_rec,-4.6750024979714394e-05,5.899810020333629e-05
ca_omph,-8.238208018434834e-05,1.677848340843905e-05
