feature,importance_mean,importance_std
ca_cchd,0.011487170478303919,0.000252653125585463
ca_disor,0.011150058452986836,0.00025802711049230923
mage_c,0.009250268263247183,0.0004550014159245998
ab_nicu,0.005169671455676451,0.0005064605529216076
dbwt,0.003640038764044387,0.00031641974677338295
gestrec10,0.0023933924618812436,0.0003823380297541392
dmeth_rec,0.0012969192420818308,0.00021402766182424468
wtgain,0.000802538425324607,0.0002232771881835925
bfacil3,0.0006482688122703715,0.00021006160152442602
meduc,0.0005794512792364037,0.00013707098093497546
precare,0.0004597927190787759,0.00018815824557297123
bmi,0.0004526564097323143,0.00020973059819722132
year,0.0004360422966826632,0.0001610306651998621
mracehisp,0.0003831976968178802,0.00012891670361936603
ab_aven6,0.0003600548210115705,0.0001683492103593073
rf_ghype,0.00031516793774420855,0.00013772900154097601
ab_aven1,0.000312599082143343,0.00014570525129899413
sex,0.00016727885315766244,8.248303248280908e-05
rf_artec,0.0001641522313630947,9.813023070573292e-05
pwgt_r,0.00016204280565730486,0.00017854934445483996
ca_cleft,0.00015716330066790457,2.795481306808998e-05
ca_clpal,0.00014666582119589772,4.4240715724421377e-05
me_pres,0.00013656944799246424,7.257811300291777e-05
rf_inftr,0.00013577893842220447,6.863726048272903e-05
rf_phype,0.0001260877097019171,6.554069807020853e-05
feduc,0.00011110180726771786,9.897379813299823e-05
rf_pdiab,9.722560217372174e-05,5.2597174516666436e-05
ld_indl,8.31792123440235e-05,4.552229527667026e-05
apgar5,8.032849274103478e-05,5.752587742943099e-05
rf_ppterm,7.840026625537642e-05,5.3268999511949016e-05
ld_augm,6.75331214626717e-05,2.5717140105774294e-05
ca_mnsb,6.532736039777839e-05,1.8306215499238602e-05
fracehisp,6.505861951609931e-05,9.958139077318324e-05
ab_anti,5.8867558716437296e-05,8.057561539530356e-05
ab_surf,5.190267420439772e-05,1.5195048146970129e-05
ca_gast,3.512257921436529e-05,2.2042387032036218e-05
ca_anen,3.334490898104885e-05,2.4227794646978472e-05
ca_cdh,1.1594156176905277e-05,7.625786991619031e-06
pay_rec,-3.961566128187141e-05,7.710492674098294e-05
