feature,mean_abs_shap
ab_nicu,1.015768981315443
mage_c,0.7885144574060298
dbwt,0.31622244834752183
gestrec10,0.3145971095988406
ab_aven1,0.18729568138053262
mracehisp,0.1365727534519403
ca_cchd,0.12456514445173202
ca_disor,0.10137840850553097
wtgain,0.08503641884662148
ab_aven6,0.07090899684861604
dmeth_rec,0.06415299416406109
meduc,0.06414481096879691
year,0.054664587973052584
bmi,0.048862358727249214
precare,0.04683550406680312
rf_ghype,0.04158593280017734
ab_anti,0.03230476129336092
me_pres,0.026685869277798823
pay_rec,0.02637346758699699
bfacil3,0.02172099298732829
rf_artec,0.019734051343257446
ca_clpal,0.012227679501697671
rf_inftr,0.011870560040578374
sex,0.011225234393640074
rf_phype,0.010499321217574282
ca_cleft,0.01040392845021949
