feature,mean_abs_shap
ab_nicu,0.9431757434854996
mage_c,0.732895852421179
dbwt,0.3538738785066716
gestrec10,0.2990437581480623
ab_aven1,0.2145959368377187
mracehisp,0.12168346197870696
wtgain,0.08735534747602475
ca_cchd,0.08608412241043795
ca_disor,0.07374106576188805
dmeth_rec,0.06121527495440154
year,0.05961854176217604
meduc,0.05762991355124512
ab_aven6,0.046038409794756506
rf_ghype,0.04550089473315851
precare,0.04456282799654571
fagecomb,0.04266138167821771
fracehisp,0.041727325627360805
bmi,0.03844352702079073
me_pres,0.03540560465223701
feduc,0.035364303154791964
ab_anti,0.03324207308316572
bfacil3,0.02661995830543426
pay_rec,0.019053774265814016
rf_inftr,0.016949571001870483
rf_phype,0.011050818755132207
rf_fedrg,0.010980152108932698
sex,0.008389202787461508
apgar5,0.007451176798247347
ld_augm,0.005800407453672852
ld_indl,0.003748835973341762
