feature,importance_mean,importance_std
ca_cchd,0.011799289536166463,0.0002746882649763961
mage_c,0.011544526820373576,0.00039904969236481165
ca_disor,0.011153056086489827,0.0005159511830604742
ab_nicu,0.00528365682251406,0.00048615316355714154
dbwt,0.0034097763636732918,0.00045328505756017846
gestrec10,0.0017965510686232817,0.0004726639360041358
dmeth_rec,0.0015760209408361748,0.000389267427566688
ab_aven1,0.0011445809219562363,0.00021311692423231962
wtgain,0.0009003883419579913,0.00033963048198791513
ab_aven6,0.0008213717618179194,0.00014717850275135265
bfacil3,0.000810965068078899,0.00017347290743846948
meduc,0.0007054121649717311,0.0002011350203107793
year,0.0005418871262105898,0.00020956078876580413
bmi,0.0005281061644331709,0.0002285891390247541
mracehisp,0.00040244766762003483,0.00023354119698672918
me_pres,0.0003297030473748665,0.00013401398301281423
precare,0.0002893155043772556,0.00025239512289257625
feduc,0.00028773288512684363,0.00015900978144879326
rf_phype,0.000279816769697909,0.00011696838131295705
sex,0.00025565757790797956,9.532215265370922e-05
ab_anti,0.00017534391879555356,0.00013972580486254187
rf_ghype,0.00016455556036662836,0.00017921688853303328
pay_rec,0.00011134351402500645,7.69845774161633e-05
rf_ppterm,0.00010047643810346257,9.167016317063359e-05
rf_inftr,9.934310154969851e-05,0.00011225580331400267
apgar5,9.415679148557649e-05,7.488651686315854e-05
ab_surf,8.43768742234418e-05,1.9489637472526483e-05
ld_augm,8.320337471531026e-05,8.383237303905317e-05
ab_seiz,7.282594339121443e-05,7.816768842151748e-07
ld_indl,5.320011359707423e-05,3.05429631973144e-05
ca_mnsb,4.636634784257881e-05,5.6430040293105556e-05
ca_anen,3.621242438001278e-05,6.232827071134222e-05
ca_hypo,1.5264230870321722e-05,6.990599231973949e-06
ca_gast,1.1033615483928283e-05,2.1139018821496735e-05
fracehisp,9.82126025461036e-06,0.00012412307778402414
rf_gdiab,2.949428601809606e-06,2.6781087424787383e-06
rf_fedrg,-4.008835689475395e-06,8.058820815208987e-05
rf_ehype,-2.037800880544359e-05,3.297113796993921e-05
rf_pdiab,-5.945991676338976e-05,0.00011000930141420941
fagecomb,-6.011299227461353e-05,0.00016873705501184642
