feature,importance_gain
ab_nicu,882014.5092577934
mage_c,488983.0792734623
ca_disor,224566.9406106472
dbwt,176404.99063110352
ca_cchd,148653.1791317463
gestrec10,115845.48733568192
ab_aven1,101493.27736735344
fagecomb,46893.6504945755
wtgain,46482.90785741806
bmi,44104.11529922485
mracehisp,34029.682458639145
meduc,30099.03840303421
precare,22788.928316116333
dmeth_rec,18629.47571659088
ab_aven6,18014.702545642853
feduc,16910.568903446198
year,15695.55944609642
rf_ghype,14456.396357774734
rf_fedrg,13712.383216381073
fracehisp,12800.311402797699
rf_inftr,12475.610769987106
bfacil3,12399.472247600555
ab_anti,10489.443274259567
me_pres,7775.945960998535
pay_rec,5560.762799024582
rf_phype,4232.4757442474365
apgar5,2480.4667608737946
sex,2140.3268399238586
ld_indl,1333.2541007995605
ld_augm,1249.42165350914
