feature,importance_mean,importance_std
ca_cchd,0.012135664803291616,0.0004477526686268314
mage_c,0.011958606717564772,0.000562555640308967
ca_disor,0.011520301555745696,0.00040653441543124134
ab_nicu,0.00563400329028428,0.0006018671744327115
dbwt,0.0034818554954561933,0.00032923919412689847
gestrec10,0.0020348933778712775,0.00030988868361508796
dmeth_rec,0.0017093559438261176,0.0004406902438062933
ab_aven6,0.0010796540117931999,0.00014785126490264732
bfacil3,0.0009797259748388527,0.00019994274769791998
wtgain,0.0009666577144280937,0.0002009536484016339
ab_aven1,0.0008583365233248763,0.00022244063211155734
meduc,0.0008015534371814323,0.00022987681271308033
year,0.0006228242861708283,0.00021153557332179778
mracehisp,0.000603542592760634,0.0002446942728849393
bmi,0.0005470919721607019,0.00021042702060193672
precare,0.0004513379676240398,0.00025107409465372827
ab_anti,0.00032614230127934985,0.00015982144129442793
rf_phype,0.00028628944682989254,9.619323111025159e-05
me_pres,0.00027282183464670854,0.00016217837420213813
sex,0.0002503198205890338,0.0001133707998913229
feduc,0.0001987356291709555,0.00012263645404012117
rf_ppterm,0.00016945091719635616,5.074823743337068e-05
rf_ghype,0.00014790960670874007,0.0002036872226894638
pay_rec,0.0001402311637362503,5.622222371640366e-05
ca_mnsb,5.9876117475676784e-05,2.1575413416946092e-05
wic,5.705643666114521e-05,3.427967922211744e-05
rf_inftr,5.657811837846763e-05,9.038037176528392e-05
ca_cleft,4.2332496924636294e-05,1.7815581053975214e-05
ca_limb,3.6773951134245686e-05,1.3055858251911256e-05
ca_anen,2.799102708705703e-05,7.535303415514125e-05
apgar5,2.5433886385729452e-05,4.97192935157568e-05
ca_clpal,1.470826470013134e-05,3.308465371080638e-05
ld_augm,1.3829842643167668e-05,8.058474129205065e-05
ld_indl,7.825135826478036e-06,1.6467718014230266e-05
rf_artec,7.082567966423467e-06,8.279052836821894e-05
rf_gdiab,4.513767777790042e-06,4.262932977862553e-06
ca_gast,3.964967562832336e-06,9.98921853619067e-06
ca_cdh,2.3973025331070625e-06,2.632790062284634e-06
ca_hypo,1.1672193299651358e-06,3.54729880895708e-06
ab_seiz,1.0439637471122005e-06,1.4703222431569834e-06
rf_ehype,-7.474312853326948e-08,3.684841676311688e-05
apgar10,-2.3400424070722793e-06,1.2954484681363945e-06
ab_surf,-1.4164867871353793e-05,2.534540740815317e-05
ca_omph,-2.1499905179143268e-05,3.064864382059059e-05
rf_fedrg,-2.7827252129932617e-05,5.007728425565339e-05
rf_pdiab,-3.0026091951132482e-05,9.19598121987498e-05
fracehisp,-4.6139363902587134e-05,0.00013224061233620357
fagecomb,-8.331120732070416e-05,0.00010925894855937878
