feature,importance_gain
ab_nicu,1018130.760201335
mage_c,512481.6845407486
ca_disor,256062.40041923523
dbwt,181832.988209486
ca_cchd,180747.3414196372
gestrec10,135942.85563999414
ab_aven1,87016.01274329424
fagecomb,71326.62444138527
bmi,54709.25719970465
wtgain,54594.23019248247
meduc,36191.10664206743
mracehisp,35192.50979113579
precare,29643.803169488907
ab_aven6,25095.295556008816
feduc,24397.777396202087
dmeth_rec,20683.609883725643
year,15383.482213139534
fracehisp,14416.07983916998
bfacil3,13187.499043107033
rf_ghype,12763.775369822979
ab_anti,9549.809078216553
me_pres,7061.754228115082
