feature,importance_mean,importance_std
mage_c,0.011565357194747517,0.0003718647875248354
ca_cchd,0.011415132062130517,0.00033121522769811036
ca_disor,0.011202131131729904,0.00039124354701595005
ab_nicu,0.0050312269361169094,0.0006328385097559337
dbwt,0.0032564096345403977,0.00031809680941975396
gestrec10,0.0018308869190744928,0.0004358675925047447
dmeth_rec,0.0014282002150636127,0.00037274095800161547
ab_aven1,0.0013416948468870972,0.00019078224229954815
wtgain,0.0008008766292327708,0.000217293891111786
bfacil3,0.0007991340386698804,0.00016200615242097856
rf_ghype,0.0007116571633936506,0.00018716125564915664
ab_aven6,0.0006634261259986847,0.00011054122206784875
bmi,0.0005685790512845443,0.00016821977178427833
year,0.0004886654915595687,0.0003072145918782608
mracehisp,0.00046972057761009953,0.0001857295156220363
precare,0.0004520481421054712,0.00018224545740746692
rf_phype,0.00024906631669621807,9.114954123285244e-05
pay_rec,0.00019795888155046474,9.058011664373553e-05
meduc,0.0001653461975598722,0.0002708033362046723
fagecomb,0.00013527836076703583,0.0002285792731563643
rf_inftr,0.0001014055088162668,0.00010319447532289853
ab_anti,6.975032608971427e-05,0.00011681757787197922
apgar5,6.0430067527931024e-05,4.6451015313322726e-05
sex,5.706891200260994e-05,6.0681258044038886e-05
feduc,2.326247790782332e-05,0.00017985600052472156
ld_indl,4.342933932501708e-06,7.1839289388635676e-06
me_pres,-5.073161652523195e-06,0.00020928492554606268
fracehisp,-3.174244106023232e-05,8.77688969549971e-05
ld_augm,-7.182305420816264e-05,5.7101260583783834e-05
rf_fedrg,-9.871479410895438e-05,0.00011163007614107183
