feature,mean_abs_shap
ab_nicu,0.9446041247615481
mage_c,0.7591742230495684
dbwt,0.36197344723947145
gestrec10,0.3327445909905046
ab_aven1,0.20948119215214236
mracehisp,0.123482599551485
wtgain,0.10084723557596297
ca_cchd,0.08204966535652507
ca_disor,0.07489476357289983
year,0.07150076238802353
dmeth_rec,0.07137213629833941
meduc,0.0623537371926989
precare,0.057425598531867676
ab_aven6,0.05667121745422005
rf_ghype,0.05018346811463593
bmi,0.049303390947379136
feduc,0.04587662055340457
fracehisp,0.04279573140024067
me_pres,0.04050742624137941
ab_anti,0.03207548178214431
bfacil3,0.02998454315018227
fagecomb,0.02979193075673018
pay_rec,0.029752584211273823
rf_inftr,0.014079939271940926
apgar5,0.01306248434541274
ld_augm,0.012626039840490958
rf_phype,0.011691857068430315
rf_artec,0.009149446825581897
rf_pdiab,0.008509512656621889
sex,0.007547130743742595
rf_fedrg,0.006443845862349764
rf_ppterm,0.004491172912752508
ca_cleft,0.0035987879353976838
ca_clpal,0.0035513284904258036
rf_ehype,0.002407433222342646
ca_mnsb,0.0023751133264139582
ca_limb,0.002065195916124646
ca_hypo,0.001985389669196191
ca_omph,0.0016872852190367765
rf_gdiab,0.0015168173373655588
ca_gast,0.0013964498892778314
ld_indl,0.0012231796251698285
ca_cdh,0.0012229292352787726
ab_surf,0.0011863461795864087
wic,0.0009993420657303633
ca_anen,0.00043064013586586753
apgar10,0.00042171997781984374
ab_seiz,6.458218723015265e-06
