feature,importance_mean,importance_std
mage_c,0.011912301279627516,0.00045708466530879635
ca_disor,0.011281222888335421,0.0003299909379978052
ca_cchd,0.011180995743292396,0.00045169734624046337
ab_nicu,0.006006303068681143,0.0005922278015334969
dbwt,0.003484755965239798,0.00041509437926039525
gestrec10,0.001847574910182211,0.0003920223529059475
dmeth_rec,0.0015061570328642093,0.00035815749124750806
bfacil3,0.000984209874291884,0.00011209208547238401
ab_aven6,0.0009596305852526612,0.0001569248134107719
ab_aven1,0.0008985222682669581,0.00023012562705168778
wtgain,0.0007486953752974333,0.00026586326048717195
rf_ghype,0.0006847330792044817,0.00015505301963595884
bmi,0.0005668769913140914,0.0001960041491592041
year,0.000537170845877544,0.00024708592505528684
precare,0.0005356138889468238,0.0002428020479962963
mracehisp,0.0004952643607319046,0.00022942242398242768
pay_rec,0.0002602646318851376,9.159569689009165e-05
rf_phype,0.0001958214563849356,9.479897739140739e-05
fagecomb,0.00017698005828218691,0.00013718876654264246
rf_pdiab,0.00016813036058129123,7.492479233958548e-05
sex,0.00016521840253270296,6.410623010618671e-05
ab_anti,0.00015844090801133104,0.00021642240087180311
rf_ppterm,0.00013815179290286374,4.689372381052637e-05
feduc,0.0001313078017004303,0.0001458179798860937
ca_mnsb,0.00010941421240022591,3.247998400021201e-05
meduc,0.00010914500195538523,0.00025195244595529104
apgar5,0.00010275713534787616,7.628225406470645e-05
me_pres,9.831946371666109e-05,0.00013721513780455354
ld_augm,8.105177875357208e-05,6.602064705473226e-05
ca_cleft,7.642858321294764e-05,1.851421061496204e-05
rf_ehype,4.4827239497761266e-05,3.672222505106863e-05
ca_clpal,3.639046842524342e-05,1.971699388129722e-05
ca_limb,3.547928828860035e-05,3.372094544350175e-05
rf_gdiab,3.5462140776285764e-05,1.5228751207824846e-05
ab_surf,3.500496217792963e-05,2.3592127018659056e-05
rf_inftr,2.169401332981179e-05,9.547364354476512e-05
ca_cdh,2.0998809173809058e-05,1.252810228140957e-05
fracehisp,1.9541104250668517e-05,9.275086050580515e-05
wic,1.715372754609347e-05,9.865616744659066e-06
ca_gast,1.703720144327625e-05,2.4002331174691327e-05
ca_anen,9.930743410916515e-06,1.3581677444398514e-05
ld_indl,6.894625266322743e-06,1.8129980986706816e-05
ca_hypo,3.810852267035689e-06,1.0068258793090706e-05
ab_seiz,4.35233049899883e-07,1.8981516981025318e-07
apgar10,-4.602052929701672e-07,5.188348061026687e-07
ca_omph,-1.9200329986030982e-05,3.196822262656078e-05
rf_artec,-6.126574639880484e-05,7.731160936474411e-05
rf_fedrg,-0.00012929488354191526,7.965728270738726e-05
