feature,mean_abs_shap
ab_nicu,0.9542872603745949
mage_c,0.7452813934167963
dbwt,0.35452559928908467
gestrec10,0.3270204901356425
ab_aven1,0.20637126094468414
mracehisp,0.11938728127746416
wtgain,0.10133072583194283
ca_cchd,0.08849657783120617
ca_disor,0.07597089977969941
meduc,0.07051961232671886
dmeth_rec,0.06939298059179616
year,0.06816127430076464
ab_aven6,0.05551609155621003
precare,0.05421139634644583
feduc,0.05089417062544739
rf_ghype,0.047344924890965416
bmi,0.04650351622926902
fagecomb,0.04152926158042988
fracehisp,0.04030043870745004
me_pres,0.03690095951848336
bfacil3,0.031400379850261985
ab_anti,0.031171635061818866
