feature,importance_gain
ab_nicu,1013087.5464133024
mage_c,543572.8876024485
ca_disor,251388.3255647421
dbwt,196126.20294600725
ca_cchd,172648.55405765772
gestrec10,132887.7944086194
ab_aven1,101751.87606412172
bmi,59690.843645334244
wtgain,56193.27811676264
fagecomb,55178.317955613136
mracehisp,35762.38018625975
meduc,35161.85553443432
precare,32085.140761733055
feduc,23392.872527062893
dmeth_rec,18585.461019814014
rf_fedrg,17896.478173971176
ab_aven6,17716.267470896244
year,16119.869697451591
fracehisp,14936.606858491898
rf_ghype,13040.266288876534
bfacil3,12238.317677855492
rf_inftr,10084.042037546635
ab_anti,8636.631127357483
pay_rec,7767.260351121426
me_pres,7336.575792551041
rf_phype,4328.1959928274155
apgar5,3104.897140085697
ld_augm,1362.455045223236
sex,1143.011760532856
ld_indl,309.90773034095764
