feature,importance_mean,importance_std
ca_disor,0.011927069659115937,0.00036402401388395747
ca_cchd,0.010383449848686836,0.0004145799374641935
mage_c,0.00979108959612843,0.0005670583509165375
ab_nicu,0.005260692445734773,0.0005080370896184148
dbwt,0.0035914593383285518,0.0003418589357153495
gestrec10,0.001988817604190535,0.0003593993149823401
dmeth_rec,0.0012777340766166369,0.0002682133443364495
wtgain,0.001049434783107945,0.0002782835945825216
ab_aven6,0.0009916165878138816,7.614852088986466e-05
ab_aven1,0.0008828400265991916,0.00018250478232297019
bfacil3,0.0007442394387291069,0.00015553018462280028
bmi,0.0007010401898135,0.00015151461751338347
mracehisp,0.0005500621110483231,0.00018136848390432246
rf_ghype,0.0005256220622709154,0.00011069187697255455
year,0.0004265451262375909,0.00014153581544184624
meduc,0.00040470301674334875,0.0002637643579709609
precare,0.000327213128190584,0.00018485856823826675
feduc,0.00028768756584619077,0.00022292575607067963
me_pres,0.0001605747641362447,0.0001094493289056491
ab_anti,0.00012635363278949049,0.00011850650568519918
fagecomb,9.830574149735545e-05,0.000306605557971941
fracehisp,6.161534036689328e-05,8.801092700018639e-05
