top_frac,k,pred_rate_mean,obs_rate,tp,fp,pred_minus_obs,ratio_pred_to_obs,model
0.01,83973,0.018203904862728153,0.017612804115608588,1479,82494,0.0005911007471195648,1.0335608539809813,raw
0.001,8397,0.07187263258301851,0.06859592711682744,576,7821,0.0032767054661910766,1.0477682218743167,raw
0.0001,840,0.19955685439058848,0.1761904761904762,148,692,0.02336637820011228,1.1326199843790157,raw
1e-05,84,0.38877487256252286,0.2857142857142857,24,60,0.10306058684823716,1.36071205396883,raw
