feature,importance_gain
ab_nicu,631449.0720012188
mage_c,352722.24926686287
dbwt,143001.3041894436
ca_disor,131409.8237605095
ca_cchd,96975.47328805923
gestrec10,80469.59282135963
bmi,56698.24148726463
wtgain,54331.16084098816
ab_aven1,46335.06243467331
fagecomb,37094.82028079033
mracehisp,28269.320080041885
meduc,26196.394852161407
precare,25878.583258628845
feduc,19440.00135397911
year,18892.68922305107
ab_aven6,16407.001643657684
fracehisp,12058.596648693085
dmeth_rec,10635.345292568207
bfacil3,10049.509248018265
rf_artec,9259.02580857277
rf_ghype,9090.535425662994
ca_mnsb,8186.406112909317
ab_anti,6668.403368473053
me_pres,6625.320607185364
rf_inftr,6208.854746103287
pay_rec,5404.4297251701355
ca_cdh,4884.400999069214
ca_omph,4308.935581445694
ca_hypo,3829.2314879894257
rf_phype,3223.7802851200104
rf_pdiab,3126.8312871456146
ca_cleft,3007.196316719055
ca_limb,2858.6627593040466
rf_fedrg,2203.5908963680267
apgar5,2017.8206086158752
ld_augm,1965.7883281707764
ld_indl,1942.8934049606323
sex,1872.9092030525208
rf_ehype,1604.3954405784607
rf_ppterm,1531.9162220954895
ca_clpal,1429.6012082099915
ca_gast,1076.090240240097
ca_anen,915.7129545211792
wic,902.1601922512054
rf_gdiab,759.887039899826
ab_surf,505.2735526561737
apgar10,308.202041387558
ab_seiz,231.50056982040405
