feature,importance_gain
ab_nicu,628370.0843179226
mage_c,334585.70337677
dbwt,144532.21290683746
ca_disor,133770.44505548477
ca_cchd,119488.05854344368
gestrec10,79827.44340348244
ab_aven1,62215.55071306229
bmi,56225.11364245415
wtgain,53170.27758836746
fagecomb,41662.564453125
mracehisp,27978.654631137848
precare,25597.922959327698
meduc,25476.301473855972
feduc,18817.45782995224
year,18500.02649784088
ab_aven6,12199.929461717606
fracehisp,11815.510113716125
rf_fedrg,11189.818519830704
dmeth_rec,10238.449241161346
bfacil3,9813.406095981598
rf_ghype,9140.407346248627
me_pres,7014.967322587967
rf_inftr,6573.80833363533
ab_anti,6323.6113431453705
pay_rec,5783.649641990662
rf_phype,3751.0444345474243
apgar5,2279.3591344356537
sex,2162.797019004822
ld_augm,1948.1553509235382
ld_indl,1916.1982998847961
