feature,importance_mean,importance_std
mage_c,0.017071505800527468,0.0006348548494420544
ca_disor,0.016412458417768637,0.0005612549498813204
ca_cchd,0.01535687053413084,0.0005607328407886167
ab_nicu,0.010570482492656432,0.0008723344242942599
dbwt,0.003943919790987434,0.0005312206115848986
gestrec10,0.0030602626836003176,0.0006646553837034913
dmeth_rec,0.0015498545648128434,0.00041590340487978814
bfacil3,0.0012940216000855021,0.00019802606772350412
ab_aven6,0.001057359162032951,0.00019038285534335136
meduc,0.0009563218321331963,0.0002846499185335763
precare,0.0009094296119238745,0.000303369434042773
year,0.0008911638523008792,0.00030483211918481745
ab_aven1,0.0008015023028844815,0.0003246994381796418
wtgain,0.0008002489960106804,0.0004202381305716963
bmi,0.0007052753371182812,0.00028548884140864054
rf_ghype,0.00048655326725404943,0.00033807531878708567
feduc,0.00031681763095924335,0.00022463931242618562
ab_anti,0.0003023757602178496,0.00015692757429699715
mracehisp,0.00029998506193170576,0.0002689908777343708
fagecomb,0.00028423562645279,0.00025194920453237065
rf_phype,0.0002645518317082169,0.00015433909859419853
me_pres,0.0002087806397517017,0.00017270833875360087
apgar5,0.0001620898510150088,0.00011767547591295893
pay_rec,0.00015435882049024928,0.00012188037949190656
ld_indl,0.00012798130574780513,9.201796667797684e-05
ca_limb,0.00012192451026549616,6.884843366445182e-05
ca_clpal,0.00011937733579011692,5.893063365116906e-05
ca_omph,8.977935872910813e-05,5.990055785069225e-05
ab_seiz,8.436162537169521e-05,1.605312852100047e-05
fracehisp,7.218943069840535e-05,0.00013036381322433467
rf_inftr,6.961765598985161e-05,0.00011354046255166292
rf_artec,6.0420813581588825e-05,0.00013215088784624196
sex,5.445692135313748e-05,0.00016529463463809847
ca_cdh,5.29094199792992e-05,2.1901237597271443e-05
rf_pdiab,4.51944538878972e-05,0.0001432911521832936
ca_mnsb,4.360032560607949e-05,4.313634736252012e-05
ab_surf,2.339479562017341e-05,2.2722501455067222e-05
ca_cleft,2.2726957686299704e-05,7.239389341505668e-05
ld_augm,2.0663179802920052e-05,9.11819117111254e-05
ca_anen,1.6022005660345368e-05,5.3843279078159344e-05
ca_hypo,1.4108376369553407e-05,9.96042481746789e-05
apgar10,1.1197046678713963e-06,4.190673208672816e-06
rf_ehype,-4.732274614827753e-07,5.563692868234347e-05
ca_gast,-1.1955958259450561e-05,4.269891574493974e-05
rf_gdiab,-1.4260368549032232e-05,6.184085969038231e-05
rf_fedrg,-4.564406071664688e-05,0.00011865573793302203
wic,-6.302714109249555e-05,3.0542677591991624e-05
rf_ppterm,-6.58960578682595e-05,6.0331244942794104e-05
