feature,mean_abs_shap
ab_nicu,0.9419652341308308
mage_c,0.7421748468067291
dbwt,0.38403874708098656
gestrec10,0.3143038176934338
ab_aven1,0.20816272112428869
mracehisp,0.13655242099880877
wtgain,0.09031421250336168
year,0.0782902318506146
ca_cchd,0.0741707921642976
dmeth_rec,0.066428947454736
precare,0.05833380270743641
ca_disor,0.058185932192825904
ab_aven6,0.05361925028809832
meduc,0.051201839503748306
rf_ghype,0.04815287174827397
bmi,0.046184902256017436
fracehisp,0.04487772644114057
me_pres,0.04114214776789349
feduc,0.04026050299143521
ab_anti,0.03206498154938359
fagecomb,0.029853870009103542
bfacil3,0.028341960055169035
pay_rec,0.027376553157076843
ld_augm,0.017616417888048234
rf_inftr,0.01628127566901763
rf_fedrg,0.01437180537548798
rf_phype,0.01364074985846275
apgar5,0.013294772344037285
ld_indl,0.01065257406394483
sex,0.010347735598627767
