feature,mean_abs_shap
ab_nicu,0.9422266982629307
mage_c,0.7443449910407768
dbwt,0.3808240612640947
gestrec10,0.3167178691172545
ab_aven1,0.20336126399533022
mracehisp,0.13676916841979847
wtgain,0.09146008424412357
year,0.0778762276513873
ca_cchd,0.06774474080756045
dmeth_rec,0.06394375747125182
ab_aven6,0.060708197262883984
precare,0.05768054883505006
ca_disor,0.05649058745435112
meduc,0.05126250560067922
rf_ghype,0.04718729795826551
fracehisp,0.04599567781675186
bmi,0.045079461779229744
feduc,0.0421045081036698
me_pres,0.03985614401278526
ab_anti,0.03486586389942453
bfacil3,0.02930540201427796
pay_rec,0.027915741134911885
fagecomb,0.0269818860961553
ld_augm,0.01703306776574825
rf_inftr,0.015132026910435607
apgar5,0.013122473168454524
rf_phype,0.012062543691863452
rf_artec,0.010406167474887294
ld_indl,0.010154957233446062
sex,0.010110692869622722
rf_pdiab,0.00933155255599484
rf_fedrg,0.0049901562829933995
rf_ppterm,0.004750317577663076
ca_mnsb,0.004594113143739902
ca_cleft,0.004223549969140444
rf_gdiab,0.0034653750151973388
wic,0.0031275360148389627
ca_omph,0.0031110520852416276
ca_anen,0.002885202795555874
rf_ehype,0.002871000583798236
ca_hypo,0.0028428333320259166
ca_limb,0.0027805502996019233
ca_cdh,0.0024055929817024565
ca_gast,0.002373668225163661
ca_clpal,0.002064369461711657
ab_surf,0.0014620214663190105
ab_seiz,0.0004352905530057582
apgar10,0.0003635330324532055
