feature,importance_mean,importance_std
ca_cchd,0.011300329248712581,0.0003386148209237499
ca_disor,0.011067679186593168,0.00046220236008968235
mage_c,0.009829083349956533,0.0002424077098468324
ab_nicu,0.0035894084891116645,0.0006068532669460978
dbwt,0.003000110077707872,0.0004292102936642394
gestrec10,0.0019194658493555425,0.0003307847269195221
dmeth_rec,0.0014340505776148527,0.000307676909879373
bfacil3,0.0007969142371646289,0.0001987373588717875
ab_aven6,0.0006614661375254887,0.00015930589047783296
wtgain,0.0004343321227285587,0.000240041493022322
mracehisp,0.0004264218729232855,0.0002126732476893917
rf_ghype,0.0003773687452751407,0.00014173094003582114
meduc,0.0003706065132047749,0.00018491464006821807
ab_aven1,0.00035210192368364363,0.0001908568802234219
precare,0.00028035305977024973,0.0001360029210639927
year,0.00027221380317256556,0.00021457676390488785
me_pres,0.0002231905005407056,0.00010810719576494032
sex,0.00018563255931362612,0.0001309544096478509
bmi,0.00017975766844041154,0.00021748593861468688
rf_phype,0.00016604601088640488,9.135025711245046e-05
ld_augm,0.00015215464967611309,6.047158448425311e-05
fagecomb,0.0001427273929769171,0.00012988403339056405
ld_indl,0.00013185562914939665,2.8689080720298117e-05
ab_anti,0.00010953602480387459,8.342667539886621e-05
ca_mnsb,0.00010343965557086873,5.950911180409459e-05
rf_pdiab,8.558952216900229e-05,0.00010835560449189045
pay_rec,8.497686843899274e-05,5.422987991728743e-05
rf_gdiab,7.650038478301604e-05,5.5424655964756786e-05
rf_ppterm,6.130679356340687e-05,5.78002431133163e-05
rf_ehype,3.5702942994801296e-05,2.191244940109289e-05
feduc,3.302261692562196e-05,8.331134040932328e-05
fracehisp,2.1086715175301986e-05,4.762348811113111e-05
ca_gast,1.7334116320976214e-05,2.344638869171061e-05
ca_anen,1.6993878804659816e-05,2.881204534238793e-05
ab_seiz,1.688303551444781e-05,5.083830381904414e-06
ab_surf,1.4022414757854096e-05,1.1254239566941726e-05
rf_inftr,6.226433806922477e-06,0.00014370261153298384
rf_fedrg,4.540585013714654e-06,2.9919265371471873e-05
ca_hypo,3.919314205226565e-06,6.178811831003726e-06
apgar5,6.58908494393165e-07,1.8896226324216123e-05
ca_cdh,-1.490162316569732e-06,4.4874814631541e-06
apgar10,-5.787121769437742e-06,1.896496878487243e-06
ca_cleft,-6.679760871802429e-06,1.318776310480743e-05
rf_artec,-7.606345556479891e-06,9.424797706945279e-05
ca_omph,-9.188696456500014e-06,1.081666497361686e-05
ca_clpal,-1.9790149839671312e-05,1.8640142400808265e-05
wic,-5.353517386055655e-05,6.725586344458881e-05
ca_limb,-0.000109823203447499,2.323678242849203e-05
