feature,importance_gain
ab_nicu,1330983.6236755848
mage_c,984898.0040730238
dbwt,668593.2192697525
bmi,506228.55928349495
ca_disor,412058.6178305149
wtgain,410248.3862235546
fagecomb,360119.5848493576
ca_cchd,272081.62299084663
gestrec10,211084.60316681862
ab_aven1,199776.18472123146
year,160237.39242625237
mracehisp,59978.474947690964
meduc,54705.08745086193
dmeth_rec,51058.26018738747
ab_aven6,50160.32923913002
precare,44234.6143219471
me_pres,38318.306866168976
ab_anti,37767.47606635094
feduc,34531.79788327217
rf_ghype,33979.70454072952
bfacil3,31332.709182977676
rf_inftr,30378.033465743065
fracehisp,23838.897667884827
rf_fedrg,22544.96523284912
ld_indl,21332.944495916367
rf_phype,14211.849627494812
pay_rec,11323.414113044739
ld_augm,9800.325787782669
apgar5,8674.944061517715
sex,6924.166462898254
