feature,importance_mean,importance_std
ca_disor,0.01111177427293669,0.0002459275215700179
ca_cchd,0.010196787366441756,0.0004498991254899683
mage_c,0.009328005637109574,0.0005604550150324922
ab_nicu,0.005497905909145806,0.0006181454998828154
dbwt,0.0032411281237612367,0.0003568477652714111
gestrec10,0.002536440350624472,0.00030989973147665164
dmeth_rec,0.002110238574524091,0.0003145683951720219
ab_aven6,0.0012763220830891808,0.0001910139438242489
wtgain,0.0010146311178777585,0.00030499738794524477
ab_aven1,0.0007982829915320303,0.0002207900764979701
rf_ghype,0.0006183019895336084,0.0001972007829250223
ab_anti,0.0005728261659810115,0.0001427769699397294
bfacil3,0.0004978484648142667,0.00014609987292375483
precare,0.0004822610697845644,0.00024259355741339201
fagecomb,0.0003490642381157767,0.00012050222210492052
mracehisp,0.00028896552430923044,0.000170752075274351
me_pres,0.0002804015238430168,0.0001014606419003019
bmi,0.0002794505095126187,0.0002184542566982896
meduc,0.0002335057047823462,0.0002205364395314501
year,0.00021139930432463038,0.00024693950743111465
rf_inftr,0.00021110710062077973,9.576829848248166e-05
rf_ppterm,0.00020922313266122822,4.791198061404721e-05
sex,0.00014199540452568133,6.793651926415161e-05
ld_indl,0.0001368766944503958,7.14936935447652e-05
wic,9.827219742092642e-05,9.385121994689659e-05
fracehisp,6.988987852540769e-05,7.35034780251331e-05
rf_artec,5.6996872160663956e-05,5.816525425404319e-05
ca_mnsb,4.6023146746785455e-05,3.4116204559667074e-05
rf_ehype,3.3850615066699506e-05,1.894439554661876e-05
ab_surf,3.278606699447274e-05,2.7289362233907433e-05
ca_hypo,3.057432180586135e-05,2.627259215766242e-05
ca_anen,2.7480971062563213e-05,2.8791884311878887e-05
feduc,2.2671345075989112e-05,0.00012053492817825398
ab_seiz,1.904418353974556e-05,1.4616085982401043e-05
ld_augm,1.68428585465865e-05,7.286578070339993e-05
ca_gast,1.6174741291846013e-05,2.0202983211323773e-05
ca_cdh,4.1959500048267817e-07,8.670965815561687e-06
rf_fedrg,-6.502267552964402e-08,2.987731279575178e-05
rf_gdiab,-1.2733897689621438e-06,8.030055405965535e-05
apgar5,-8.929651503473968e-06,2.217178761156676e-05
ca_omph,-1.4981883020398837e-05,1.6557392986801844e-05
pay_rec,-1.737215829481706e-05,3.685177906389492e-05
apgar10,-2.1438836780958774e-05,6.884646750818469e-06
rf_phype,-3.169325882970038e-05,9.005856621019394e-05
rf_pdiab,-4.2775935739552266e-05,9.676812979261362e-05
ca_cleft,-4.483551155457788e-05,1.0314393867970605e-05
ca_clpal,-6.05694683144517e-05,2.4472091038781205e-05
ca_limb,-7.206380323060875e-05,2.0328916095557844e-05
